City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Marzuq,YE,14.4,46.4667,70.23,47,52,2.51,broken clouds
80,Angoche,MZ,-16.2325,39.9086,78.82,80,28,6.02,scattered clouds
81,Dunedin,NZ,-45.8742,170.5036,61.41,99,100,3.71,light rain
82,Mayumba,GA,-3.432,10.6554,79.92,82,59,7.27,broken clouds
83,Mbandaka,CD,0.0487,18.2603,79.18,45,96,3.47,overcast clouds
84,Fort Nelson,CA,58.8053,-122.7002,-8.66,94,100,3.67,overcast clouds
85,Tilichiki,RU,60.4667,166.1,6.53,86,100,12.35,overcast clouds
86,Makurdi,NG,7.7411,8.5121,94.15,10,2,2.44,clear sky
87,Vanimo,PG,-2.6741,141.3028,77.16,85,99,1.77,overcast clouds
88,Kapaa,US,22.0752,-159.319,67.12,59,29,6.38,scattered clouds
89,Sur,OM,22.5667,59.5289,73.8,57,0,17.85,clear sky
90,The Pas,CA,53.8251,-101.2541,-18.26,90,12,12.3,few clouds
91,Liverpool,GB,53.4106,-2.9779,52.77,86,75,4.0,broken clouds
92,Bredasdorp,ZA,-34.5322,20.0403,70.29,58,24,19.35,few clouds
93,Sobolevo,RU,54.4299,31.8996,24.93,95,100,9.44,light snow
94,Yaan,NG,7.3833,8.5667,93.72,11,1,2.33,clear sky
95,Alugan,PH,12.2188,125.4808,78.73,83,100,13.94,overcast clouds
96,Provideniya,RU,64.3833,-173.3,5.27,65,0,23.24,clear sky
97,Terney,RU,45.0503,136.6092,9.03,73,80,10.6,broken clouds
98,Saint George,US,37.1041,-113.5841,39.67,30,75,5.01,broken clouds
99,Honiara,SB,-9.4333,159.95,78.1,88,100,5.14,heavy intensity rain
100,Kenai,US,60.5544,-151.2583,17.65,93,100,3.44,overcast clouds
101,Myitkyina,MM,25.3833,97.4,51.71,92,8,3.69,clear sky
102,Kruisfontein,ZA,-34.0033,24.7314,72.84,91,100,5.23,light rain
103,Salalah,OM,17.0151,54.0924,73.42,49,2,2.95,clear sky
104,Laguna,US,38.421,-121.4238,54.05,44,0,8.01,clear sky
105,Kyzyl-Suu,KG,42.3414,78.0056,19.69,63,100,8.5,overcast clouds
106,Kedougou,SN,12.5579,-12.1743,98.38,5,6,8.43,clear sky
107,Pacific Grove,US,36.6177,-121.9166,55.11,39,0,1.01,clear sky
108,Georgetown,MY,5.4112,100.3354,80.89,90,20,3.0,few clouds
109,Lagoa,PT,39.05,-27.9833,58.5,72,1,12.84,clear sky
110,Mana,GF,5.6592,-53.7767,82.15,69,53,10.78,broken clouds
111,Acarau,BR,-2.8856,-40.12,85.84,59,94,14.16,overcast clouds
112,Bluff,NZ,-46.6,168.3333,56.8,83,100,17.78,moderate rain
113,Port Hedland,AU,-20.3167,118.5667,80.65,89,100,6.91,overcast clouds
114,East London,ZA,-33.0153,27.9116,83.34,78,20,3.44,few clouds
115,Palauig,PH,15.435,119.9045,77.4,70,17,4.34,few clouds
116,Gao,ML,16.6362,1.637,80.37,8,2,10.31,clear sky
117,Mehamn,NO,71.0357,27.8492,23.18,92,40,9.22,scattered clouds
118,Darhan,MN,49.4867,105.9228,-5.46,93,92,4.99,overcast clouds
119,Avarua,CK,-21.2078,-159.775,77.05,94,40,10.36,scattered clouds
120,Kilindoni,TZ,-7.9139,39.6668,81.73,79,70,10.98,broken clouds
121,Mahebourg,MU,-20.4081,57.7,80.89,94,75,34.52,light intensity shower rain
122,Puerto El Triunfo,SV,13.2833,-88.55,87.96,57,1,9.57,clear sky
123,Skibotn,NO,69.3913,20.2679,10.49,87,79,11.21,broken clouds
124,Upernavik,GL,72.7868,-56.1549,-5.53,65,100,5.93,overcast clouds
125,Homer,US,59.6425,-151.5483,28.27,86,20,10.36,few clouds
126,Torbay,CA,47.6666,-52.7314,29.75,79,40,4.61,scattered clouds
127,Ulladulla,AU,-35.35,150.4667,63.88,71,96,14.34,overcast clouds
128,Te Anau,NZ,-45.4167,167.7167,60.62,97,100,3.53,heavy intensity rain
129,Malinovskiy,RU,61.1953,62.8397,23.43,97,100,4.83,overcast clouds
130,Thessalon,CA,46.2501,-83.5666,21.69,76,100,11.12,overcast clouds
131,Yellowknife,CA,62.456,-114.3525,-35.72,77,20,4.61,mist
132,Ossora,RU,59.2353,163.0719,19.56,82,100,12.77,overcast clouds
133,Lasa,IT,46.6166,10.7002,42.71,95,100,8.14,light rain
134,Nikolskoye,RU,59.7035,30.7861,22.89,100,96,1.34,overcast clouds
135,Westerland,DE,54.9079,8.3033,41.02,81,90,9.22,overcast clouds
136,Aykhal,RU,66.0,111.5,-20.85,100,7,2.98,clear sky
137,Balkanabat,TM,39.5108,54.3671,51.76,39,0,9.19,clear sky
138,Naryan-Mar,RU,67.6713,53.087,8.74,96,100,9.01,overcast clouds
139,Dicabisagan,PH,17.0818,122.4157,72.68,82,71,1.39,broken clouds
140,Cabo San Lucas,MX,22.8909,-109.9124,75.61,40,75,12.66,broken clouds
141,Gillette,US,44.2911,-105.5022,1.69,77,100,8.99,overcast clouds
142,Lorengau,PG,-2.0226,147.2712,77.88,84,100,6.4,heavy intensity rain
143,Hasaki,JP,35.7333,140.8333,27.0,37,2,2.91,clear sky
144,Geraldton,AU,-28.7667,114.6,90.01,19,53,19.57,broken clouds
145,Zhoucheng,CN,35.9122,116.3117,32.72,39,37,3.47,scattered clouds
146,Fairbanks,US,64.8378,-147.7164,-34.64,98,0,0.0,clear sky
147,Norman Wells,CA,65.282,-126.8329,-21.15,99,98,6.26,overcast clouds
148,Fukue,JP,32.6881,128.8419,46.47,53,99,16.55,light rain
149,Vitina,BA,43.2375,17.4839,41.32,61,0,7.72,clear sky
150,Jiuquan,CN,39.7432,98.5174,20.37,28,80,6.55,broken clouds
151,Volgorechensk,RU,57.4393,41.1555,24.49,96,98,7.54,snow
152,Alekseyevsk,RU,57.8406,108.3492,2.98,98,100,3.85,overcast clouds
153,Broken Hill,AU,-31.95,141.4333,61.97,41,0,20.65,clear sky
154,Bethel,US,41.3712,-73.414,44.49,82,100,4.61,haze
155,Jalu,LY,29.0331,21.5482,56.79,43,45,12.19,scattered clouds
156,Cherskiy,RU,68.75,161.3,-8.55,64,36,2.01,scattered clouds
157,Luderitz,NA,-26.6481,15.1594,68.07,79,13,6.02,few clouds
158,Camargo,MX,27.6667,-105.1667,62.74,21,100,9.73,overcast clouds
159,Tarauaca,BR,-8.1614,-70.7656,92.32,46,78,1.77,moderate rain
160,Balakhninskiy,RU,58.0106,114.2769,-20.04,100,95,3.18,overcast clouds
161,Thompson,CA,55.7435,-97.8558,-25.44,68,0,14.97,clear sky
162,Kholodnyy,RU,62.7167,147.95,-22.07,99,98,2.06,overcast clouds
163,Acari,PE,-15.4311,-74.6158,81.82,56,13,11.74,few clouds
164,Fenoarivo Atsinanana,MG,-17.3667,49.4167,78.48,79,97,12.15,overcast clouds
165,Port Elizabeth,ZA,-33.918,25.5701,71.89,94,75,23.02,broken clouds
166,Shimoda,JP,34.6667,138.95,38.1,63,1,21.05,clear sky
167,Itapora,BR,-22.0799,-54.7874,80.49,80,91,7.34,overcast clouds
168,Souillac,MU,-20.5167,57.5167,80.98,94,75,34.52,light intensity shower rain
169,Shache,CN,38.4167,77.2406,30.34,40,100,5.12,overcast clouds
170,Changji,CN,44.0167,87.3167,0.39,85,18,0.0,mist
171,Poum,NC,-20.2333,164.0167,79.29,76,1,12.24,clear sky
172,Coquimbo,CL,-29.9533,-71.3436,69.53,64,0,13.8,clear sky
173,Cidreira,BR,-30.1811,-50.2056,79.52,72,2,14.09,clear sky
174,Kaitangata,NZ,-46.2817,169.8464,59.23,97,100,8.77,overcast clouds
175,Kavaratti,IN,10.5669,72.642,80.65,70,5,12.08,clear sky
176,Tiksi,RU,71.6872,128.8694,-7.1,100,100,6.35,overcast clouds
177,Portland,US,45.5234,-122.6762,41.83,96,100,1.01,light intensity drizzle
178,Chuy,UY,-33.6971,-53.4616,84.2,47,1,10.78,clear sky
179,Tabas,IR,33.5959,56.9244,48.85,43,0,0.74,clear sky
180,Novyy Nekouz,RU,57.9029,38.07,15.98,97,99,5.7,overcast clouds
181,Taunggyi,MM,20.7833,97.0333,48.15,61,0,0.96,clear sky
182,San Patricio,US,28.017,-97.5169,76.87,71,82,12.75,broken clouds
183,Mar Del Plata,AR,-38.0023,-57.5575,83.88,50,98,11.99,overcast clouds
184,Tessalit,ML,20.1986,1.0114,74.41,8,0,13.96,clear sky
185,Waingapu,ID,-9.6567,120.2641,78.53,84,39,8.66,scattered clouds
186,Kondinskoye,RU,59.6481,67.41,23.54,93,100,13.02,overcast clouds
187,Apac,UG,1.9756,32.5386,83.39,29,100,3.85,overcast clouds
188,Abu Samrah,SY,35.3029,37.1841,52.43,59,98,11.81,overcast clouds
189,Chapais,CA,49.7834,-74.8492,28.18,84,100,11.1,overcast clouds
190,Port Lincoln,AU,-34.7333,135.8667,62.11,73,83,10.33,broken clouds
191,Iracoubo,GF,5.4802,-53.2011,81.3,75,31,11.99,scattered clouds
192,Luba,GQ,3.4568,8.5547,81.82,73,23,7.96,few clouds
193,Muscat,OM,23.6139,58.5922,71.62,56,1,4.29,clear sky
194,Kargasok,RU,59.0556,80.8572,14.14,94,92,7.94,overcast clouds
195,Paita,PE,-5.0892,-81.1144,86.56,62,6,12.84,clear sky
196,Saint-Philippe,RE,-21.3585,55.7679,80.19,93,100,31.14,moderate rain
197,Zhuhai,CN,22.2769,113.5678,60.69,93,40,13.8,light rain
198,Qaqortoq,GL,60.7167,-46.0333,7.3,66,2,4.03,clear sky
199,Katsuura,JP,35.1333,140.3,42.91,56,68,3.53,broken clouds
200,Merauke,ID,-8.4667,140.3333,74.95,87,100,6.17,overcast clouds
